Customer ID,Age,Gender,TransactionDate,Amount,Quantity,ProductCategory,PaymentMethod,Channel,Country,State,IsReturningCustomer
1,19,Male,3/1/2023,450.55,2,Groceries,Debit Card,In-Store,USA,DE,1
2,21,Male,9/3/2023,1129.44,10,Clothing,PayPal,In-Store,USA,FL,0
3,47,Male,2/21/2024,102.86,1,Beauty,Debit Card,Online,USA,WA,1
4,61,Male,9/10/2023,1145.65,3,Groceries,Apple Pay,In-Store,USA,MD,1
5,31,Male,1/18/2024,812.96,3,Toys,Debit Card,In-Store,USA,IN,1
6,71,Male,10/24/2023,981.32,3,Electronics,Credit Card,In-Store,USA,CO,1
7,40,Male,8/6/2023,879.81,9,Groceries,Credit Card,Online,USA,MA,0
8,62,Male,5/24/2023,1088.99,5,Beauty,Debit Card,In-Store,USA,MA,1
9,35,Male,11/9/2024,1474.62,6,Clothing,PayPal,In-Store,USA,CO,0
10,59,Male,9/15/2024,717.41,1,Home Goods,Debit Card,In-Store,USA,DE,1
11,23,Male,10/28/2024,120.9,1,Toys,PayPal,Online,USA,MO,1
12,70,Male,1/2/2024,583.19,1,Electronics,PayPal,In-Store,USA,DE,0
13,65,Male,10/15/2023,1022.43,6,Clothing,Credit Card,In-Store,USA,OH,0
14,41,Male,10/15/2023,741.79,10,Clothing,Credit Card,Online,USA,TN,1
15,54,Male,5/20/2024,259.86,4,Home Goods,Apple Pay,Online,USA,NC,0
16,26,Female,8/6/2024,1283.94,9,Home Goods,Cash,Online,USA,TX,0
17,61,Male,9/21/2024,383.12,9,Beauty,Credit Card,In-Store,USA,DE,0
18,45,Female,10/8/2023,186.97,9,Beauty,PayPal,In-Store,USA,DE,0
19,21,Female,3/6/2024,800.95,6,Electronics,PayPal,Online,USA,DE,1
20,69,Male,8/20/2023,1467.25,7,Electronics,Debit Card,Online,USA,MD,0
21,58,Male,4/10/2023,46.67,7,Toys,Credit Card,In-Store,USA,TX,1
22,33,Female,2/25/2023,1233.34,9,Toys,Debit Card,Online,USA,TN,1
23,55,Male,3/29/2023,1461.92,1,Beauty,Cash,Online,USA,CO,0
24,21,Female,9/17/2024,941.15,2,Electronics,Credit Card,Online,USA,CO,1
25,24,Male,2/25/2024,353.5,10,Toys,Apple Pay,Online,USA,DE,1
26,74,Male,9/26/2024,156.41,1,Beauty,Apple Pay,In-Store,USA,AZ,0
27,56,Male,3/11/2023,891.37,4,Sports,Debit Card,In-Store,USA,NY,1
28,46,Male,9/6/2023,210.82,1,Electronics,Debit Card,In-Store,USA,MN,1
29,37,Male,7/8/2024,1164.37,3,Beauty,Cash,In-Store,USA,VA,1
30,51,Male,11/4/2024,1019.06,1,Clothing,Apple Pay,Online,USA,NY,1
31,58,Male,3/12/2023,515.62,8,Home Goods,PayPal,In-Store,USA,PA,1
32,39,Male,4/18/2023,684.18,1,Beauty,Debit Card,Online,USA,AZ,0
33,57,Male,9/2/2023,723.72,6,Toys,PayPal,Online,USA,CO,1
34,41,Male,3/17/2023,540.04,9,Electronics,Debit Card,In-Store,USA,NY,1
35,66,Female,2/14/2023,1463.09,4,Clothing,Cash,Online,USA,MD,0
36,29,Female,7/21/2024,372.72,4,Electronics,Debit Card,In-Store,USA,DE,0
37,42,Male,4/24/2023,510.88,4,Groceries,PayPal,Online,USA,IL,1
38,28,Male,9/30/2024,1323.09,2,Electronics,Debit Card,Online,USA,DE,0
39,62,Female,11/22/2023,901.33,4,Electronics,Apple Pay,Online,USA,MA,1
40,33,Male,10/6/2024,1194.44,3,Toys,Apple Pay,In-Store,USA,WA,0
41,68,Male,9/21/2024,101.99,9,Beauty,Apple Pay,In-Store,USA,TN,1
42,38,Male,1/18/2024,790.59,8,Home Goods,PayPal,In-Store,USA,GA,1
43,59,Male,8/1/2023,333.19,4,Beauty,Debit Card,In-Store,USA,MD,0
44,54,Male,1/19/2024,385.52,2,Clothing,Credit Card,In-Store,USA,MA,1
45,55,Male,4/21/2024,770.83,6,Beauty,PayPal,In-Store,USA,OH,1
46,38,Female,1/27/2024,41.95,8,Clothing,Cash,Online,USA,TN,1
47,71,Male,6/9/2024,822.24,2,Toys,Cash,Online,USA,DE,0
48,20,Male,7/25/2023,503.97,6,Groceries,Cash,In-Store,USA,VA,0
49,72,Male,7/10/2024,1369.01,1,Toys,Cash,In-Store,USA,IL,1
50,43,Male,11/2/2024,22.78,9,Toys,Debit Card,In-Store,USA,MA,0
51,48,Male,6/12/2024,882.57,9,Toys,PayPal,In-Store,USA,PA,1
52,72,Male,3/15/2024,1156.35,7,Clothing,PayPal,In-Store,USA,WA,0
53,73,Male,11/9/2023,1415.31,1,Beauty,Cash,In-Store,USA,MD,0
54,66,Male,7/4/2024,452.96,10,Electronics,Apple Pay,Online,USA,MA,0
55,54,Male,9/9/2024,1371.06,10,Toys,PayPal,In-Store,USA,WA,0
56,52,Female,7/12/2023,714.79,6,Sports,PayPal,In-Store,USA,DE,0
57,29,Male,9/9/2024,735.48,3,Clothing,Credit Card,In-Store,USA,MO,1
58,60,Male,3/13/2023,684.72,6,Sports,Credit Card,Online,USA,MI,1
59,43,Male,4/24/2023,198.06,7,Beauty,Credit Card,In-Store,USA,DE,0
60,37,Female,11/11/2024,714.8,10,Sports,Cash,Online,USA,PA,1
61,27,Female,3/7/2023,1237.75,10,Toys,Debit Card,In-Store,USA,NY,1
62,20,Male,4/4/2023,435.43,8,Groceries,Cash,In-Store,USA,MD,0
63,75,Male,3/18/2024,689.45,3,Home Goods,Apple Pay,Online,USA,GA,1
64,33,Male,10/8/2023,1324.42,9,Groceries,Credit Card,Online,USA,CA,1
65,25,Female,3/20/2023,1134.32,9,Toys,Cash,In-Store,USA,MO,1
66,50,Male,4/18/2024,44.94,8,Beauty,Cash,In-Store,USA,PA,0
67,34,Male,5/20/2023,494.03,8,Beauty,PayPal,Online,USA,NY,0
68,63,Female,5/24/2023,708.83,5,Toys,Debit Card,Online,USA,OH,0
69,36,Male,7/1/2024,1113.46,3,Electronics,Credit Card,In-Store,USA,GA,0
70,31,Male,2/5/2023,1339.57,9,Clothing,PayPal,Online,USA,GA,0
71,46,Male,9/4/2024,11.98,7,Toys,Debit Card,Online,USA,MI,1
72,23,Male,3/7/2024,46.78,1,Groceries,Debit Card,Online,USA,DE,0
73,69,Male,6/21/2023,1087.4,1,Beauty,Apple Pay,Online,USA,DE,1
74,57,Male,7/8/2024,595.62,7,Electronics,Debit Card,Online,USA,PA,0
75,18,Female,10/31/2024,477.78,7,Clothing,PayPal,Online,USA,GA,0
76,59,Male,1/13/2024,70.69,4,Beauty,Cash,In-Store,USA,NC,0
77,28,Female,4/8/2023,901.8,7,Home Goods,Debit Card,In-Store,USA,MD,0
78,72,Male,5/8/2024,105.93,1,Sports,Apple Pay,In-Store,USA,WA,1
79,50,Male,1/14/2023,352.75,10,Toys,Credit Card,In-Store,USA,OH,0
80,57,Male,3/3/2023,210.65,8,Groceries,Debit Card,Online,USA,OH,1
81,33,Male,9/4/2024,1482.88,8,Home Goods,Cash,Online,USA,CA,1
82,51,Female,10/25/2024,1220,1,Clothing,Cash,In-Store,USA,CA,0
83,60,Male,8/16/2023,914.05,7,Sports,Cash,Online,USA,CA,1
84,73,Female,3/13/2023,1430.72,1,Home Goods,Debit Card,Online,USA,TX,0
85,53,Male,8/30/2023,763.6,7,Home Goods,PayPal,In-Store,USA,MD,0
86,45,Male,9/12/2024,377.21,5,Sports,PayPal,Online,USA,OH,1
87,23,Female,2/12/2024,569.69,8,Beauty,PayPal,In-Store,USA,DE,0
88,48,Male,1/26/2024,643.96,2,Toys,Cash,Online,USA,DE,0
89,37,Female,10/18/2023,565.84,10,Beauty,Credit Card,In-Store,USA,CO,0
90,27,Male,1/5/2023,24.19,9,Home Goods,Cash,In-Store,USA,PA,1
91,65,Female,1/29/2024,736.88,10,Electronics,PayPal,Online,USA,DE,0
92,28,Male,3/22/2024,1435.86,6,Sports,PayPal,In-Store,USA,MD,0
93,65,Male,9/6/2023,719.2,6,Home Goods,Credit Card,Online,USA,AZ,1
94,34,Male,9/8/2024,869.62,3,Electronics,Credit Card,Online,USA,IL,1
95,75,Male,6/14/2024,1365.37,7,Clothing,PayPal,In-Store,USA,MD,1
96,60,Female,8/23/2024,465.43,7,Toys,Credit Card,Online,USA,MO,1
97,65,Male,2/12/2024,1050.02,1,Clothing,PayPal,Online,USA,DE,0
98,51,Female,11/1/2024,436.07,7,Clothing,Debit Card,In-Store,USA,AZ,0
99,49,Male,5/29/2024,1422.98,8,Sports,Debit Card,Online,USA,PA,0
100,69,Male,9/23/2023,1474.51,7,Beauty,Apple Pay,Online,USA,GA,0
101,42,Male,10/11/2023,101.07,1,Sports,Debit Card,In-Store,USA,TX,1
102,18,Male,9/30/2023,1128.94,1,Home Goods,Apple Pay,Online,USA,FL,0
103,42,Male,6/16/2024,1480.41,5,Beauty,PayPal,In-Store,USA,NY,1
104,38,Male,1/5/2024,999.29,7,Sports,Credit Card,In-Store,USA,WA,1
